id,PDF,Link,title,author,issued,type,title-short,container-title,editor,publisher,publisher-place,page,chapter,volume,number,issue,doi
vonfintel1997,fintel1997.pdf (https://dl.airtable.com/kYoEMBdSNW21tb2BquFL_fintel1997.pdf),,"Bare plurals, bare conditionals, and only",fintel-k,1997,article-journal,,Journal of Semantics,,,,1-56,,14,,,
vonfintel2008,fintel2008.pdf (https://dl.airtable.com/cNBHRKYSpacbjwUdMfz1_fintel2008.pdf),,CIA Leaks,"fintel-k,gillies-a",2008,article-journal,,Philosophical Review,,,,77-98,,117,1,,10.1215/00318108-2007-025
vonFintel2008-VONWIP-2,,,"What is presupposition accommodation, again?",fintel-k,2008 ,article-journal,,Philosophical Perspectives,,,,137-170,,22,,1,
vonfintel2010,von_fintel2010.pdf (https://dl.airtable.com/nww5JMPTTZ2D5uo7WGBq_von_fintel2010.pdf),,Must...Stay...Strong!,fintel-k,2010,article-journal,,Natural Language Semantics,,,,351-83,,18,4,,10.1007/s11050-010-9058-2
Williamson2000-WILKAI,,,Knowledge and its limits,williamson-t,2000 ,book,,,,Oxford University Press,,,,,,,
Starr2014-STAFMA,mood_force_and_truth.pdf (https://dl.airtable.com/Ppws40hS8OfFghra7H8x_mood_force_and_truth.pdf),,"Force, mood and truth",starr-w,2014 ,article-journal,,Protosociology,,,,160-181,,31,,,
StarrManuscript-STAAPS,a_preference_semantics_for_imperatives.pdf (https://dl.airtable.com/eaQnYKBCTNKTnWDdMoef_a_preference_semantics_for_imperatives.pdf),,A preference semantics for imperatives,starr-w,2016,manuscript,,Semantics and Pragmatics,,,,,,,,,
Lascarides2009-LASADA,"lasceridesAsher-agreementDisputesCommitmentsDialogue.pdf (https://dl.airtable.com/T68RIRT1QLSHTVzmSemD_lasceridesAsher-agreementDisputesCommitmentsDialogue.pdf),asherLascerides-agreementDisputesDialogue.pdf (https://dl.airtable.com/8IqMiIWvS1ONgzw7fjQ8_asherLascerides-agreementDisputesDialogue.pdf)",,"Agreement, disputes and commitments in dialogue","lascarides-a,asher-n",2009 ,article-journal,,Journal of Semantics,,Oxford University Press,,109-158,,26,,2,
larrsonTraum2000,larssonTraum-informationStateDialogueManagementTRINDI.pdf (https://dl.airtable.com/5vkHlVQdBDVM19InTQAX_larssonTraum-informationStateDialogueManagementTRINDI.pdf),,Information state and dialogue management in the TRINDI Dialogue Move Engine Toolkit,"larrson-s,traum-d",2000,article-journal,,Natural Language Engineering,,,,323-340,,6,3-4,,
Schaffer2010-SCHMTP-2,,,Monism: The priority of the whole,schaffer-j,2010 ,article-journal,,Philosophical Review,,Duke University Press,,31-76,,119,,1,
halliday1961,halliday-categoriesTheoryGrammar.pdf (https://dl.airtable.com/UXRnsaP7T2ip1D9wuVZ7_halliday-categoriesTheoryGrammar.pdf),,Categories of the Theory of Grammar,halliday-m,1961,article-journal,,Word,,,,241-292,,17,3,,
